Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,"Hips Don't Lie (feat. Wyclef Jean)","Oral Fixation, Vol. 2 (Expanded Edition)","Shakira;Wyclef Jean",2005-11-28,218093,21,false,tossicodipendente,2025-05-21T13:41:56Z,"latin pop","Epic",0.778,0.824,10,-5.892,0,0.0707,0.284,0,0.405,0.758,100.024,4
spotify:track:3GpbwCm3YxiWDvy29Uo3vP,"Right Round","R.O.O.T.S. (Route of Overcoming the Struggle)","Flo Rida;Kesha",2009-03-23,204640,88,false,tossicodipendente,2025-05-29T06:18:04Z,"","Poe Boy/Atlantic",0.72,0.672,7,-6.852,1,0.0551,0.009,0,0.232,0.705,124.986,4
spotify:track:3LUWWox8YYykohBbHUrrxd,"We R Who We R","Cannibal (Expanded Edition)","Kesha",2010-11-19,204760,81,false,tossicodipendente,2025-06-04T10:25:54Z,"","RCA Records Label",0.736,0.817,8,-4.9,1,0.0407,0.00987,0.00167,0.117,0.653,119.95,4
spotify:track:6ic8OlLUNEATToEFU3xmaH,"Gimme More","Blackout","Britney Spears",2007-10-25,251244,88,true,tossicodipendente,2025-06-05T10:48:05Z,"pop","Jive",0.788,0.844,2,-3.131,1,0.0334,0.25,0.000678,0.0723,0.382,113.324,4
spotify:track:3MjUtNVVq3C8Fn0MP3zhXa,"...Baby One More Time","...Baby One More Time (Digital Deluxe Version)","Britney Spears",1999-01-12,211066,89,false,tossicodipendente,2025-06-05T10:48:23Z,"pop","Jive",0.759,0.699,0,-5.745,0,0.0307,0.202,0.000131,0.443,0.907,92.96,4
spotify:track:6naxalmIoLFWR0siv8dnQQ,"Oops!...I Did It Again","Oops!... I Did It Again","Britney Spears",2000-05-16,211160,87,false,tossicodipendente,2025-06-05T10:48:34Z,"pop","Jive",0.751,0.834,1,-5.444,0,0.0437,0.3,0.0000177,0.355,0.894,95.053,4
spotify:track:378iszndTZAR4dH8kwsLC6,"Cheap Thrills (feat. Sean Paul)","This Is Acting","Sia;Sean Paul",2016-02-18,224813,85,false,tossicodipendente,2025-06-06T09:27:27Z,"dancehall","Monkey Puzzle Records/RCA Records",0.592,0.8,6,-4.931,0,0.215,0.0561,0.00000201,0.0775,0.728,89.972,4
spotify:track:3E7dfMvvCLUddWissuqMwr,"Party In The U.S.A.","The Time Of Our Lives (International Version)","Miley Cyrus",2009-01-01,202066,86,false,tossicodipendente,2025-06-06T09:27:55Z,"","Hollywood Records",0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,4
spotify:track:0k2GOhqsrxDTAbFFSdNJjT,"Temperature","The Trinity","Sean Paul",2005-09-27,216320,88,false,tossicodipendente,2025-09-06T11:59:46Z,"dancehall","VP Records",0.951,0.6,0,-4.675,0,0.0685,0.106,0,0.0712,0.822,125.04,4
spotify:track:7e1h7rqNB0BBC2fUuWEEFe,"Who's That Chick? (feat. Rihanna)","One More Love","David Guetta;Rihanna",2010-11-22,201040,78,false,tossicodipendente,2026-08-25T10:51:08Z,"edm","Parlophone (France)",0.675,0.602,11,-4.733,0,0.116,0.00377,0,0.0458,0.933,127.938,4
spotify:track:7DnAm9FOTWE3cUvso43HhI,"Sweet but Psycho","Heaven & Hell","Ava Max",2020-09-18,187436,86,false,tossicodipendente,2026-08-25T10:51:30Z,"","Atlantic Records",0.72,0.706,1,-4.719,1,0.0473,0.0684,0,0.166,0.62,133.002,4
spotify:track:7jk7gqyEonmVVYahZN5zhW,"Circus","Circus (Deluxe Version)","Britney Spears",2008-12-02,192359,83,false,tossicodipendente,2026-08-25T10:51:41Z,"pop","Jive",0.791,0.733,6,-5.215,0,0.052,0.147,0.000381,0.0713,0.761,114.98,4
